Country Name,Country Code,Series Name,Series Code,1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Indonesia,IDN,Income share held by lowest 20%,SI.DST.FRST.20,..,..,..,..,..,..,..,..,..,..,..,8.3,..,..,9.1,..,..,9,..,..,9,..,..,8.4,..,9,9.2,9.2,9.1,9.5,9.4,9,9.2,8.7,8.4,8.5,8.4,8.1,7.5,7.7,7.4,7.4,7.4,7.4,7.4,7.4,7.6,7.6,7.6,7.8,7.9
Indonesia,IDN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.85,55.429,55.968,56.514,57.081,57.565,58.153,58.754,59.138,59.757,60.273,60.728,61.307,61.722,61.973,62.211,62.696,63.181,63.537,64.126,64.598,64.856,65.237,65.355,65.733,65.962,66.221,66.433,66.758,67.134,67.413,65.75,67.649,67.914,68.189,68.226,68.494,68.679,68.823,68.973,69.264,69.533,69.699,69.798,69.936,70.338,70.518,68.808,67.57,68.25,..
Indonesia,IDN,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,5.217,5.093,5.035,4.923,4.809,4.715,4.613,4.493,4.359,4.249,4.095,3.941,3.711,3.527,3.42,3.331,3.223,3.098,3.056,2.942,2.882,2.838,2.798,2.77,2.738,2.655,2.578,2.536,2.497,2.456,2.428,2.418,2.433,2.453,2.491,2.479,2.459,2.452,2.499,2.49,2.427,2.389,2.345,2.309,2.262,2.234,2.215,2.194,2.175,2.153,..
Indonesia,IDN,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,128.194,125.7,120.747,119.064,118.666,119.108,116.146,113.951,111.454,109.173,103.643,100.378,91.314,83.869,83.571,79.102,76.271,74.708,72.104,68.659,65.69,64.338,63.742,61.394,59.55,57.393,55.509,54.557,54.091,52.425,51.032,48.246,47.849,47.363,47.631,47.016,45.899,45.847,45.537,44.762,43.219,40.797,38.928,36.615,36.012,35.293,34.867,34.485,33.929,32.94,..
Indonesia,IDN,"Contraceptive prevalence, any method (% of married women ages 15-49)",SP.DYN.CONU.ZS,8.6,..,..,26.3,..,..,31.2,..,..,..,..,..,38.5,..,47.7,..,..,..,49.7,..,53.1,54.7,54.2,54.2,57.4,55.4,55.4,54.8,52.5,54.2,60.3,56.7,57.9,57.9,61.4,61.4,60.6,61,61.3,61.9,62,61.6,60,59.4,63.6,..,..,..,..,..,..
Indonesia,IDN,Births attended by skilled health staff (% of total),SH.STA.BRTC.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,36.3,..,..,40.7,35.1,40.7,..,39.8,49.7,..,49.1,56,..,66.9,..,68.4,66.3,71.5,..,..,73,74.86,..,82.2,..,83.1,87.4,..,..,92.6,90.9,93.6,94.7,..,..,..,..
Indonesia,IDN,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,150.4,145.6,141,136.5,132.4,128.4,124.5,120.7,117,113.3,109.6,106,102.4,98.7,95.1,91.4,87.6,83.8,80.1,76.4,72.8,69.4,66.1,63,60,57.2,54.6,52,49.7,47.4,45.3,49.3,41.5,39.8,38.1,36.6,35.1,33.7,32.3,31.1,29.8,28.6,27.5,26.4,25.4,24.5,23.6,22.8,22,21.3,..
Indonesia,IDN,"Prevalence of underweight, weight for age (% of children under 5)",SH.STA.MALN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.9,..,31,..,..,29.8,..,..,..,30.3,..,25.8,22.8,24.7,23.4,23,23.1,19.7,24.4,..,..,19.6,..,18.6,..,..,19.9,..,..,..,..,17.7,..,..,..,..,..
Indonesia,IDN,"Immunization, measles (% of children ages 12-23 months)",SH.IMM.MEAS,..,..,..,..,..,..,..,..,..,..,6,13,26,45,48,51,54,58,61,65,68,66,63,79,77,77,77,76,76,72,74,76,77,79,76,76,74,78,80,82,87,86,87,88,90,89,88,76,72,84,..
Indonesia,IDN,"Primary completion rate, total (% of relevant age group)",SE.PRM.CMPT.ZS,53.25537109375,50.8354110717773,49.0673904418945,48.4956207275391,52.9937400817871,55.8135108947754,..,..,65.8477935791016,70.4250717163086,75.7427597045898,85.5808334350586,95.2554321289062,97.4167404174805,97.2932434082031,97.0849075317383,97.4142074584961,94.395881652832,90.7412033081055,89.0867004394531,92.7073974609375,95.4393692016602,95.2415237426758,94.8697280883789,95.4097137451172,..,..,..,95.3834915161133,97.3382034301758,99.5420532226562,98.6548461914062,98.9920120239258,97.5537185668945,100.271362304688,99.1960372924805,100.199127197266,102.534896850586,102.359306335449,109.122627258301,107.166213989258,109.713562011719,109.528511047363,107.964698791504,106.196006774902,104.974113464355,104.611259460449,103.142936706543,103.38159942627,102.985801696777,101.923690795898
